spot_id,name,lat,lon,ncei_depth_m,google_depth_m,google_raw_elev,google_resolution_m,diff_m,pct_diff
rum-seagarden,Seagarden,23.6167,-74.8,55.0,105.09,-105.09,610.81,-50.09,-62.6
eleuthera-cape-eleuthera,Cape Eleuthera,24.7667,-76.3333,579.0,71.42,-71.42,610.81,507.58,156.1
cat-dry-heads,Dry Heads,24.35,-75.3667,731.0,236.35,-236.35,610.81,494.65,102.3
long-hamilton-caves,Hamilton's Cave Reef,23.45,-75.15,2.0,5.28,-5.28,610.81,-3.28,-90.0
eleuthera-black-shoals,Black Shoals,25.45,-76.7833,14.0,4.48,-4.48,610.81,9.52,103.1
rum-hyperspace,Hyperspace,23.6333,-74.8167,8.0,0,0,610.81,8.0,200.0
tahiti-teahupoo,Teahupoo Outer Reef,-17.86441,-149.25,110.32,2.81,-2.81,610.81,107.51,190.1
sardinia-tavolara-north,Tavolara - North,40.9133,9.71,42.0,0,0,610.81,42.0,200.0
tikehau-manta-point,Manta Point (Tikehau),-14.99,-148.22,26.0,0.43,-0.43,610.81,25.57,193.5
grand-bahama-west-end-wall,West End Wall,26.6833,-79.0,150.0,28.68,-28.68,76.35,121.32,135.8
rangiroa-canyons,The Canyons,-14.965,-147.63,85.0,1.6,-1.6,610.81,83.4,192.6
rangiroa-reef-island,Reef Island (Les Sables Roses),-15.05,-147.5,823.0,332.17,-332.17,610.81,490.83,85.0
moorea-tiki,Tiki (Moorea),-17.4667,-149.9333,1215.25,1328.0,-1328.0,610.81,-112.75,-8.9
moorea-vaiare,Vaiare,-17.5167,-149.7667,37.09,0,0,610.81,37.09,200.0
moorea-taotoi,Taotoi,-17.499999,-149.822653,18.18,0,0,610.81,18.18,200.0
moorea-stingray-world,Stingray World,-17.480409,-149.83,1.62,2.75,-2.75,610.81,-1.13,-51.9
bora-bora-tapu,Tapu,-16.45,-151.75,3.94,0,0,610.81,3.94,200.0
bora-bora-anau,Anau,-16.5,-151.705,3.03,-0.21,0.21,610.81,3.24,229.9
tikehau-tuheiava,Tuheiava Pass,-15.0,-148.2333,31.0,0.2,-0.2,610.81,30.8,197.4
grand-bahama-gold-rock,Gold Rock Beach Reef,26.55,-78.0,602.0,602.8,-602.8,610.81,-0.8,-0.1
bora-bora-outer-reef,Bora Bora Outer Reef,-16.4833,-151.7833,2.82,0,0,610.81,2.82,200.0
manihi-tairapa,Tairapa Pass,-14.4333,-146.0717,193.0,0,0,610.81,193.0,200.0
nassau-athol-island-east,Athol Island - East,25.104518,-77.2683,8.54,0,0,610.81,8.54,200.0
tikehau-shark-pit,Shark Pit,-15.01,-148.24,79.0,0.25,-0.25,610.81,78.75,198.7
tahiti-papeete-pass,Papeete Pass,-17.52,-149.55,36.28,4.48,-4.48,610.81,31.8,156.1
grand-bahama-peterson-cay,Peterson Cay National Park,26.4333,-78.5667,842.0,834.14,-834.14,152.7,7.86,0.9
rangiroa-tiputa,Tiputa Pass,-14.9683,-147.6383,20.0,0,0,610.81,20.0,200.0
rangiroa-avatoru,Avatoru Pass,-14.95,-147.7,16.0,0.06,-0.06,610.81,15.94,198.4
rangiroa-blue-lagoon,Blue Lagoon,-15.0,-147.55,277.0,153.13,-153.13,610.81,123.87,57.6
moorea-opunohu,Opunohu Pass,-17.4833,-149.85,5.32,0.13,-0.13,610.81,5.19,190.2
bora-bora-muri-muri,Muri Muri,-16.46,-151.76,1.95,0,0,610.81,1.95,200.0
cali-horseshoe-kelp,Horseshoe Kelp,33.64,-118.2333,42.45,40.91,-40.91,76.35,1.54,3.7
cali-60-mile-bank,60-Mile Bank,32.0611,-118.219,442.55,459.04,-459.04,610.81,-16.48,-3.7
cali-avalon-bank,Avalon Bank (228 Spot),33.4097,-118.2217,417.45,448.3,-448.3,152.7,-30.85,-7.1
mexico-espiritu-santo-north,Espiritu Santo - North,24.5283,-110.3333,69.0,1.66,-1.66,610.81,67.34,190.6
mexico-espiritu-santo-west,Espiritu Santo - West,24.4833,-110.3983,25.0,0,0,152.7,25.0,200.0
mexico-gordo-banks,Gordo Banks,23.05,-109.4167,294.0,383.73,-383.73,610.81,-89.74,-26.5
raja-ampat-sardines,Sardines Reef,-0.56,130.65,62.0,10.45,-10.45,610.81,51.55,142.3
raja-ampat-misool,Misool,-1.744783,129.9833,16.0,0.84,-0.84,610.81,15.16,180.0
bigisland-anaehoomalu,A-Bay (Anaehoomalu),19.914999,-155.891327,2.26,1.87,-1.87,76.35,0.39,19.0
cali-potters-reef,Potter's Reef (Horseshoe Drop-off),33.6465,-118.2718,112.4,82.82,-82.82,76.35,29.59,30.3
mexico-la-reina,La Reina,24.55,-110.3167,337.0,345.34,-345.34,610.81,-8.34,-2.4
mexico-cabo-pulmo,Cabo Pulmo National Park,23.4333,-109.4167,13.0,1.41,-1.41,152.7,11.59,160.7
fiji-kadavu-astrolabe-west,Astrolabe Reef - West,-19.05,178.235,16.0,0,0,610.81,16.0,200.0
fiji-taveuni-rainbow-north,Taveuni Rainbow - North,-16.885,179.9,534.0,387.06,-387.06,610.81,146.94,31.9
fiji-namena-marine,Namena Marine Reserve,-17.1,179.1,51.0,4.12,-4.12,610.81,46.88,170.1
maldives-maaya-thila,Maaya Thila,3.8833,72.9,19.0,0,0,610.81,19.0,200.0
egypt-daedalus,Daedalus Reef,24.9167,35.85,3.0,9.99,-9.99,610.81,-6.99,-107.7
spain-mallorca-dragonera-east,Dragonera - East,39.5883,2.3417,14.0,0,0,610.81,14.0,200.0
cali-oceanside-artificial-reef,Oceanside Artificial Reef,33.2097,-117.43,16.62,16.2,-16.2,76.35,0.42,2.6
mexico-cerralvo,Isla Cerralvo,24.140599,-109.85,42.0,10.56,-10.56,610.81,31.44,119.6
mexico-lands-end,Land's End (Cabo),22.875,-109.8917,52.0,0.11,-0.11,152.7,51.89,199.2
aus-montague-island-north,Montague Island - North,-36.235,150.2333,67.0,20.0,-20.0,610.81,47.0,108.0
phil-malapascua,Malapascua,11.335,124.12,6.0,0,0,610.81,6.0,200.0
fiji-taveuni-rainbow-east,Taveuni Rainbow - East,-16.9,179.915,302.0,45.55,-45.55,610.81,256.45,147.6
sa-sodwana-two-mile,Two Mile Reef (Sodwana),-27.5333,32.6833,9.0,0.21,-0.21,9.54,8.79,190.8
keys-dry-tortugas-south,Dry Tortugas - South,24.6133,-82.8781,6.0,6.7,-6.7,76.35,-0.7,-11.0
cali-channel-islands-san-miguel-north,San Miguel Island - North,34.0883,-120.3667,50.34,48.8,-48.8,76.35,1.54,3.1
cali-monterey-breakwater,Monterey Breakwater,36.6167,-121.8917,30.01,30.02,-30.02,2.39,-0.01,-0.0
cali-huntington-flats,Huntington Flats,33.6412,-118.0547,24.7,22.19,-22.19,4.77,2.51,10.7
mexico-espiritu-santo-south,Espiritu Santo - South,24.3983,-110.3333,18.0,0,0,152.7,18.0,200.0
abaco-whale-cay,Whale Cay,26.6833,-77.2,4.0,1.88,-1.88,610.81,2.12,72.3
raja-ampat-cape-kri,Cape Kri,-0.55,130.6667,46.0,19.98,-19.98,610.81,26.02,78.9
raja-ampat-passage,The Passage,-0.4333,130.55,17.0,0,0,610.81,17.0,200.0
aus-cairns-outer-reef,Cairns Outer Reef,-16.75,146.0,28.9,22.2,-22.2,610.81,6.7,26.2
aus-montague-island-east,Montague Island - East,-36.25,150.2483,95.0,10.4,-10.4,610.81,84.6,160.5
egypt-thistlegorm,SS Thistlegorm,27.8167,33.9167,3.0,5.3,-5.3,610.81,-2.3,-55.5
aus-montague-island-west,Montague Island - West,-36.25,150.2183,39.0,0,0,610.81,39.0,200.0
mexico-espiritu-santo-east,Espiritu Santo - East,24.4833,-110.2883,121.0,2.43,-2.43,610.81,118.58,192.1
mexico-el-bajo,El Bajo Seamount,24.5833,-110.2833,749.44,730.85,-730.85,610.81,18.59,2.5
raja-ampat-blue-magic,Blue Magic,-0.5333,130.6833,47.0,35.47,-35.47,610.81,11.53,28.0
fiji-beqa-east,Beqa Lagoon - East,-18.3833,178.0083,3.0,0,0,610.81,3.0,200.0
maldives-manta-point,Manta Point (Lankanfinolhu),4.25,72.95,6.0,9.76,-9.76,610.81,-3.76,-47.7
oahu-chuns-reef,Chun's Reef,21.6208,-158.09,8.19,5.91,-5.91,76.35,2.28,32.4
oahu-three-tables,Three Tables,21.6464,-158.0681,17.9,11.14,-11.14,76.35,6.76,46.6
oahu-waimea-bay,Waimea Bay,21.643,-158.0667,8.62,2.89,-2.89,76.35,5.73,99.7
oahu-sharks-cove,Shark's Cove,21.6502,-158.0678,21.11,14.56,-14.56,76.35,6.55,36.7
oahu-sunset-point,Sunset Point,21.6686,-158.0492,3.15,0.29,-0.29,76.35,2.86,166.1
oahu-haleiwa-harbor,Haleiwa Harbor Reef,21.5966,-158.1056,5.77,1.09,-1.09,76.35,4.68,136.5
oahu-laniakea,Laniakea (Turtle Beach),21.6208,-158.09,8.19,5.91,-5.91,76.35,2.28,32.4
oahu-papailoa,Papailoa Beach,21.6108,-158.1,4.24,1.43,-1.43,76.35,2.81,99.0
oahu-kawela-bay,Kawela Bay,21.701076,-158.011442,1.81,0.74,-0.74,76.35,1.06,83.3
oahu-makua-beach,Makua Beach,21.5272,-158.2366,31.96,32.31,-32.31,76.35,-0.35,-1.1
oahu-kaneohe-bay,Kaneohe Bay,21.45,-157.8,13.44,13.1,-13.1,76.35,0.35,2.6
oahu-spitting-caves,Spitting Caves,21.2542,-157.715,33.46,41.06,-41.06,76.35,-7.6,-20.4
oahu-kahala-reef,Kahala Reef,21.27,-157.77,0.61,0.73,-0.73,76.35,-0.13,-19.3
oahu-ala-moana-bowls,Ala Moana Bowls,21.2842,-157.85,3.8,0.43,-0.43,0.6,3.37,159.0
oahu-kewalo-basin,Kewalo Basin,21.2892,-157.86,1.66,0.68,-0.68,0.6,0.97,83.2
oahu-diamond-head-cliffs,Diamond Head Cliffs,21.255,-157.805,0.9,-0.42,0.42,0.6,1.32,552.8
oahu-black-point,Black Point,21.2592,-157.79,0.69,-0.4,0.4,0.6,1.09,733.3
oahu-waikiki-reef,Waikiki Reef,21.27,-157.83,5.91,5.68,-5.68,76.35,0.23,4.0
oahu-waimanalo-bay,Waimanalo Bay,21.335,-157.694,2.85,0.42,-0.42,76.35,2.42,148.1
oahu-bellows-beach,Bellows Beach,21.355,-157.703184,6.06,4.53,-4.53,76.35,1.53,28.9
oahu-flat-island,Flat Island (Popoia),21.41,-157.74,2.59,0.83,-0.83,76.35,1.76,102.7
oahu-yokohama-bay,Yokohama Bay (Keawaula),21.5533,-158.2535,10.28,7.06,-7.06,76.35,3.22,37.2
oahu-puaena-point,Puaena Point,21.598,-158.10916,10.13,5.39,-5.39,76.35,4.74,61.1
oahu-coconut-island,Coconut Island (Moku o Loe),21.435,-157.79,0.21,-0.25,0.25,76.35,0.46,-2796.0
oahu-laie-point,Laie Point,21.645,-157.91414,2.68,2.17,-2.17,76.35,0.51,21.2
bigisland-kolekole,Kolekole Beach,19.88941,-155.119,7.03,0,0,76.35,7.03,200.0
bigisland-laupahoehoe,Laupahoehoe Point,19.990417,-155.234,30.23,2.7,-2.7,152.7,27.53,167.2
