spot_id,name,lat,lon,ncei_depth_m,google_depth_m,google_raw_elev,google_resolution_m,diff_m,pct_diff
abaco-man-o-war,Man-O-War Cay,26.5833,-76.9833,3.0,0,0,610.81,3.0,200.0
abaco-sandy-point,Sandy Point,26.0167,-77.3833,52.0,0,0,610.81,52.0,200.0
nassau-tongue-dropoff,Tongue of the Ocean,24.25,-77.5,1473.0,783.89,-783.89,610.81,689.11,61.1
nassau-rose-island,Rose Island Reef,25.1,-77.35,270.0,77.59,-77.59,610.81,192.41,110.7
crooked-wall,Crooked Island Wall,22.78435,-74.196038,6.17,2.97,-2.97,610.81,3.2,70.1
acklins-atoll-rim,Acklins Atoll Rim,22.5,-74.0,3.89,5.49,-5.49,610.81,-1.6,-34.0
cat-blue-hole,Cat Island Blue Hole,24.2,-75.45,76.0,18.93,-18.93,610.81,57.07,120.2
sardinia-tavolara-south,Tavolara - South,40.8833,9.71,45.0,0,0,152.7,45.0,200.0
sardinia-tavolara-west,Tavolara - West,40.8983,9.675,14.0,0,0,152.7,14.0,200.0
greece-gavdos,Gavdos,34.816192,24.0833,38.0,0,0,9.54,38.0,200.0
greece-santorini-caldera,Santorini Caldera,36.4,25.4283,224.0,-3.12,3.12,9.54,227.12,205.7
croatia-kornati,Kornati National Park,43.8,15.3,22.0,0,0,610.81,22.0,200.0
sardinia-tavolara-east,Tavolara - East,40.8983,9.725,74.0,0,0,152.7,74.0,200.0
croatia-vis-blue-cave,Vis Island (Blue Cave),43.062096,16.199858,5.0,-2.69,2.69,610.81,7.69,664.8
croatia-hvar-north,Hvar Island - North,43.2317,16.65,58.0,14.83,-14.83,610.81,43.17,118.6
croatia-hvar-south,Hvar Island - South,43.1117,16.65,34.0,4.2,-4.2,610.81,29.8,156.1
croatia-hvar-east,Hvar Island - East,43.1667,16.705,12.0,0,0,610.81,12.0,200.0
turkey-fethiye,Fethiye (Oludeniz),36.545,29.1167,4.0,0,0,610.81,4.0,200.0
cali-carmel-point-lobos,Point Lobos Reserve,36.524345,-121.942814,31.74,32.26,-32.26,4.77,-0.52,-1.6
cali-la-jolla-shores,La Jolla Shores,32.8589,-117.2606,3.57,0.18,-0.18,4.77,3.39,180.7
cali-point-loma-kelp,Point Loma Kelp Beds,32.7,-117.2717,16.55,15.89,-15.89,76.35,0.67,4.1
grand-bahama-unexso,UNEXSO Reef (Freeport),26.50651,-78.638614,26.0,17.1,-17.1,152.7,8.9,41.3
cali-la-jolla-cove,La Jolla Cove,32.85,-117.2772,5.29,-0.01,0.01,76.35,5.3,200.9
cali-channel-islands-santa-rosa-north,Santa Rosa Island - North,34.035,-120.1,23.39,24.99,-24.99,76.35,-1.6,-6.6
cali-channel-islands-santa-rosa-west,Santa Rosa Island - West,33.95,-120.205,14.06,12.92,-12.92,76.35,1.14,8.4
cali-channel-islands-san-miguel-south,San Miguel Island - South,34.0083,-120.3667,51.52,44.49,-44.49,76.35,7.03,14.6
cali-channel-islands-san-miguel-east,San Miguel Island - East,34.0333,-120.3017,24.48,32.48,-32.48,76.35,-8.0,-28.1
cali-channel-islands-san-miguel-west,San Miguel Island - West,34.0333,-120.4617,23.24,15.08,-15.08,76.35,8.16,42.6
cali-hermosa-artificial,Hermosa Beach Artificial Reef,33.85,-118.405,12.48,11.21,-11.21,76.35,1.27,10.7
cali-redondo-horseshoe,Horseshoe Kelp (Redondo),33.8,-118.45,66.87,72.71,-72.71,9.54,-5.85,-8.4
cali-laguna-shaw-cove,Shaw's Cove (Laguna),33.5433,-117.7967,7.47,6.18,-6.18,19.09,1.29,18.9
cali-laguna-divers-cove,Diver's Cove (Laguna),33.5383,-117.7933,15.48,19.37,-19.37,76.35,-3.89,-22.3
cali-san-clemente-island-north,San Clemente - North,32.945,-118.5,35.51,29.01,-29.01,76.35,6.49,20.1
cali-san-clemente-island-east,San Clemente - East,32.9,-118.445,97.42,25.57,-25.57,76.35,71.86,116.8
cali-santa-barbara-island-east,Santa Barbara Island - East,33.4867,-118.9975,85.44,84.41,-84.41,152.7,1.03,1.2
cali-channel-islands-anacapa,Anacapa Island - West End,34.0167,-119.45,56.62,40.18,-40.18,76.35,16.44,34.0
france-antibes,Cap d'Antibes,43.549999,7.148219,51.0,0,0,610.81,51.0,200.0
spain-ibiza-es-vedra,Es Vedra (Ibiza),38.8717,1.2,62.0,0,0,152.7,62.0,200.0
cali-malibu-leo-carrillo,Leo Carrillo Beach,34.0433,-118.9333,5.1,0,0,76.35,5.1,200.0
cali-san-clemente-island-south,San Clemente - South,32.845,-118.5,45.93,34.76,-34.76,76.35,11.18,27.7
spain-tenerife-abades,Abades (Tenerife),28.1333,-16.4333,8.0,0,0,9.54,8.0,200.0
spain-el-hierro,El Hierro,27.777992,-18.031642,225.24,0.47,-0.47,610.81,224.77,199.2
greece-crete-chania,Chania Coast (Crete),35.5217,24.0167,19.0,0,0,152.7,19.0,200.0
greece-rhodes,Rhodes,36.433298,28.195436,53.0,0,0,152.7,53.0,200.0
croatia-hvar-west,Hvar Island - West,43.1667,16.245,89.0,89,-89,610.81,0.0,0.0
cali-santa-barbara-island-north,Santa Barbara Island - North,33.5017,-119.0125,72.86,81.0,-81.0,76.35,-8.14,-10.6
turkey-kas,Kas,36.195,29.6333,64.0,0,0,610.81,64.0,200.0
